Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Inocybe_renispora_JQ319699	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_latericia	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_calamistratoides	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cyanotincta_JN975033	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JQ815431	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_viridipes_nom_prov_JQ815429	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._EU600840	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._latericia_JN975023	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_bongardii_G0528_NL0894	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._GQ892937	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cervicolor_JQ815416	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_subrubescens_JQ815417	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._calamistrata_2_JN975018	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_hirsuta_var._maxima_JQ815420	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_subhirsuta_EU555452	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_calamistrata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._calamistrata_1_JQ815410	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_apiosmota_EU555454	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_mutata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_misakaensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_neobrunnescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_neobrunnescens_var._leucothelota	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_curreyi	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._fastigiella_2_JQ815419	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
