Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Leptonia_gracilipes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sericeonitidum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_sp._G0043_NL5063	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_abortivum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_undatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Claudopus_minutoincanus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_hungaricum_ad_int._G0380_NL057	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_parasiticum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Claudopus_viscosus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Claudopus_depluens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_albotomentosum_G1644_TUR141258	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_cettoi_G1360_WU_21204	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sp._11_G0035_NL5049	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_lepidissimum_KC898532	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_fusca_HQ876527	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_albostrigosa_HQ876535	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_lasia_HQ876534	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_debilis_HQ876528	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_setiformis_HQ876526	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sp._16_G0051_NL5085	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_pamiae_HQ876518	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_farinosa_HQ876515	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_tenuissimum_GDGM_28814_NG_0426	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_hirtum_G0418_NL3646	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_crassicystidiatum_JQ291569	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_yunnanense_JQ320128	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_furfurACeum_GDGM_28818_NG_0426	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_parvula_HQ876524	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_lageniformis_HQ876523	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_pilocystidiata_HQ876522	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_araneosum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_araneosum_var._judithae_G1666_T	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_subaraneosum_JQ291568	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_violaceovillosum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Pouzarella_nodospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_lepiotoides_G1633_NLN005002081	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_tectonicola	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_peTChii_JQ320120	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_luteum_JQ320121	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocephalus_lactifluus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_murrayi_GU384620	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_salmoneum_G0081_NL5065	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_quadratum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_luteum_G0031_NL5069	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_procerum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_albidoquadratum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_violACeozonATum_KC898502	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sp._21_G0086_NL5046	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_canescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_indutoides_G1397_WU19603	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_excentricum_KF771047	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_excentricum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_cystidiosum_G1579_M._E._Noordel	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_cystidiatum_cystidiosum_G1619_M	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_camarophyllus_G1612_M._E._Noord	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sp._6_G0017_NL5048	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_cocles	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_subg._Trichopilus_G1628_NLN988	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_fuscomarginatum_G1649_NLN98823	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Trichopilus_porphyrophaeus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_porphyrescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_jubATum_KP965790	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_trichopilus_G1620_NLN988233256	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_austroprunicolor_G1624_NLN9993	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_elodes_G1399_WU19509	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sordidolamellatum_G1498_WU_673	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_plebejum_G0295_NL5190	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sp._Omphalina_sp._volt_G0013_NL	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_brevispermum_G1603_M._E._Noorde	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_gasteromycetoides	NA	Gasteroid	Gasteroid	Gasteroid
Entoloma_hypoGAeum_gene_for_AB692009	NA	Gasteroid	Gasteroid	Gasteroid
Entoloma_albosimulans_G1637_M._E._Noorde	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_totialbum_G1671_M._E._Noordeloo	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Alboleptonia_sericella_KP965783	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sericellum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_strigosum_G1659_M._E._Noordeloo	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_omiense_JQ410330	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_formosum_G0988_NL5416	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_subclitocyboides_JQ320135	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_odorifer	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_caccabus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_subradiatum_G1670_Luis_Morgado	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_tenuicystidiatum_G1677_NLN9993	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_rhodopolium	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_politum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_lividoalbum_FJ794079	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_griseus_G1942_MINF0890765_MI3	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sp._G0109_NL5038	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_pallidocarpum_JQ410331	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_prunuloides	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sinuatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_CAeruleoflavum_JQ320119	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_hainanense_JQ320118	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sericeoides_G0699_DB2756	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_nidorosum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_alpicola	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_inusitatum_G1398_WU20639	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sordidulum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_flavifolium	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_majaloides_G1610_Luiss_personal	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_splendidum_G1623_M._E._Noordelo	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sericatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_speculum_G1622_Luiss_personal_c	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_myrmecophilum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_prismATicum_gene_for_AB692006	NA	Gasteroid	Gasteroid	Gasteroid
Entoloma_pluteisimilis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_zuccherellii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sarcitum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_sphagneti	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entocybe_haastii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_contrastans_G1632_NLN_missing	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_alcedicolor	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entocybe_nitida	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_fuligineoviolaceum_G1606_M._E.	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entocybe_vinacea	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entocybe_trachyospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entocybe_turbida	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_frAGilum_KT339286	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_indigoticoumbrinum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_perbloxamii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_bloxamii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_gelatinosum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_cretaceum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_rugosostriATum_KT339295	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_olivACeocolorATum_KT339287	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_griseolazulinum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Entoloma_kermandii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodophana_stangliana	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodophana_nitellina	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_melleopallens_G0967_NL5401	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Omphalina_farinolens_strain_AH_19718_EF	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_giovanellae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_scyphoides	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_pinsitus	Pileate-stipitate	Pileate-sessile	Pileate-sessile	Pileate-stipitate
Clitopilus_cystidiatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_prunulus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_apalus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_chrischonensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_scyphoidesvarintermedius	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_sp._G0093_NL5175	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocella_mundula	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lulesia_densifolia_G1411_ANGE236	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocella_fallax	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocella_popinalis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_popinalis_strain_TB6378_AF261	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilopsis_hirneola_2121	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tephrocybella_griseonigrescens_KR476785	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_mauretanica_cf._G2054_Buyck_9	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_piperitus_G1198_KSRE53	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_gemina	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_pseudopiperita	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_pallidogriseus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_pruinosistipitata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_aureicystidiata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_brunnescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitopilus_CAelATus_strain_TB6995_GU384	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_caelata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Rhodocybe_spongiosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_diosma_G0686_WU0013355	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_portentosum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_intermedium	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_equestre	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_frondosae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_columbetta_G0111_NL5124	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_subresplendens_KJ417230	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_pullum_cf._G1315_NL5430	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_acre_cf._G1317_NL5432	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_aestuans	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_palustre_AY700197	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_caligatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_matsutake_G0302_NL5398	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_sulphurescens_G0243_DB1992	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_orirubens_G0242_DB4957	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_basirubens_G0921_DB4634	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_viridiolivaceum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_apium	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_saponaceum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_subaureum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_imbricatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_fulvum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_batschii_G0241_DB4925	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_ustale_G1074_NL0947	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_focale_G0801_DB1913	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_pessundatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_muricatum_G1981_UC1859460	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_populinum_G0289_DB3783	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_aurantium_G0756_DB4282	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_acerbum_G0188_NL5376	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_eucalypticum_G1760_PERTH_847	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_vaccinum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_sejunctum_G0005_NL5072	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_mAGnivelare_KF010165	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_scalpturatum_G0189_NL2415	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_inocybeoides_G0957_DB1223	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_cingulatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_terreum_EU439347	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_myomyces	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_moseri_G1986_UC1999174_UC	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_sulphureum_G0975_NL5408	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_inamoenum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_bufonium_AY462031	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_albissimus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_vernaticum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_pardinum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_venenatum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_filamentosum_G1012_DB4422	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_atroviolaceum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Porpolomasp._2_KJ417213	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Porpoloma_sejunctum_KJ417212	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Porpoloma_terreum_KJ417215	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Porpoloma_portentosum_KJ417211	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Porpoloma_griseum_1775	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Porpolomasp._1_KJ417214	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dennisiomycessp._1_KF291064	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dennisiomyces_glabrescentipes_KJ417235	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dennisiomycessp._4_KJ417192	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Corneriella_indiCA_KJ944172	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dennisiomycessp._5_KJ417188	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Corneriella_humicola_KF291052	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Corneriella_bambusarum_KJ417185	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Corneriellasp.Dennisiomyces_sp._KF30633	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Corneriellasp.Dennisiomyces_griseusDenni	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Corneriellasp.Porpoloma_sp._AF261395	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Albomagister_subaustralis_KJ417180	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Albomagistersp._2Hygrophorus_subaustrali	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Albomagistersp._3Hygrophorussubaustralis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Pseudotricholoma_umbrosumPorpoloma_umbro	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Pseudotricholoma_metapodium_KJ417219	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_amarus_KJ417197	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_laterarius_KJ417202	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_gentianeus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_eucalyptorum_KJ417199	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_tricolor_KJ417207	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_paradoxus_KJ417206	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_cutefractus_G0157_NL0361	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_sp._TO_AVL20115_JQ639161	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_lilacinus_KJ417205	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_cerealis_KJ417198	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Leucopaxillus_alboalutaceus_KJ417195	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Pseudobaeospora_pyrifera	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Pseudobaeospora_sp._G0778_DB2013	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Camarophyllopsis_sp._G0021_NL5059	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dermoloma_pseudocuneifolium_G0144_NL090	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_umbilicata_JX514101	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_adirondackensis_HQ902913	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_adirondackensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_phaeopthalma_KF208453	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_clitocyboides_JX514096	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_humilis_JX514114	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Singerocybe_alboinfundibuliformis_KF208	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepistella_ocula_G1261_Ovrebo4035	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_ruderalis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_sp._G0042_NL5067	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_phyllophila_G0551_NL3466	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Collybia_cirrhata_G0511_NL2137	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Collybia_cookei_G0714_DB4220	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Collybia_tuberosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_albofragrans_G0688_WU0020637	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_anisata_G0280_DB3780	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_rivulosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_agrestis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_cerussatta_KJ681059	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_odora_G0755_DB4905	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_marginella_G0344_WU0016935	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_sp._G0044_NL5031	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepista_sordida	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepista_B2206_NL1718	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepista_saeva_G0900_DB176	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepista_glaucocana_cf._G0300_NL5304	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Tricholoma_mongolicum_KC691223	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepista_personata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Lepista_nuda	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_robusta	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_nebularis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_fragrans	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_glacialis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Clitocybe_ramigena	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
